116.75209945,28.96277429,2532
106.33023077,29.54839846,65
113.35542923,23.67399536,431
116.56426237,38.69226817,465
111.33647222,26.901825,72
109.5055,30.2737,18
116.85386275,38.06887941,102
108.50073684,30.44312632,19
106.98742381,31.1970781,210
117.82325,32.4687869,84
121.48368932,34.83406117,103
114.41612,37.899044,50
119.78104545,32.97634545,22
111.80742308,31.05934615,26
107.85525581,28.99528488,86
117.29731429,37.11169143,70
119.38981818,29.49732727,11
115.45881714,32.29783619,105
114.80066429,32.33950408,98
117.53003333,34.29734912,57
114.15690909,31.6818,,11
123.27036364,41.78309091,11
111.781,40.48055833,24
103.41559048,36.70660476,21
115.11535294,28.78112941,17
124.43305556,42.14043889,18
106.55509091,31.50914545,22
115.23052,29.786636,25
117.9426,34.10229,10
107.152225,32.26995,8
113.03419048,33.3248,,21
106.3212,34.537308,25
113.77157143,34.85082857,14
110.8393,33.97833,10
104.748125,36.5997,4
118.76372727,34.05440909,11
114.5117,33.78078,10
114.74245455,36.24894545,11
106.96854545,33.33403636,11
116.679875,32.4085875,8
116.80691667,34.870325,12
114.314,33.5795,1
