00F6P1B4GU,[0, 1],,,,
0102BI4UFE,[2],,,,,
01081FB4GU,[3],,,,,
011G808FUB,[4],,,,,
01BFI2XLGU,[0, 2],,,,
01I5GBU1FE,[0,33, 0],,,
02U1G2P1FE,[0, 2],,,,
034LB7FSUI,[31,10,2, 0],,
03PXGFL8BI,[0],,,,,
040I7USPFE,[2, 35],,,,
04PF51B4GU,[5,0, 5],,,
053IG6SPFE,[2,30,6, 0],,
0615PUG3FI,[0, 6],,,,
06P41FB4GU,[0, 3],,,,
07611PSFBI,[2,7, 0],,,
07BF4GLXSU,[8, 0],,,,
07FLX7B7SI,[9],,,,,
07FUX7B7SI,[10],,,,,
08SFB1ULXI,[2],,,,,
0F1PS1B4GU,[11],,,,,
0F1X51B4GU,[0, 2],,,,
0F2S12XLGU,[15, 9],,,,
0F36PSXB1I,[0],,,,,
0FS14IXLGU,[0],,,,,
0GB001U2FE,[0],,,,,
0GFLX7B7SI,[0],,,,,
0I4F4GLXSU,[7,5, 0],,,
0IF151B4GU,[0, 12],,,,
0IF2PU12LB,[],,,,,
0ILXFSP4GU,[0,6,24, 2],,
0IP51FB4GU,[2, 0],,,,
0LF16BP4GU,[0],,,,,
0SFI66P4GU,[0, 3],,,,
0SP41FB4GU,[0],,,,,
0SX51FB4GU,[40, 34],,,,
0U3IG6SPFE,[0,13,0, 2],,
0UPF133LBI,[0, 2],,,,
0X50513GFI,[0, 14],,,,
0X717USPFE,[2,14, 2],,,
0XI51FB4GU,[15, 8],,,,
106SG2P1FE,[2,0,6, 0],,
10FPS1B4GU,[0],,,,,
10I01FB4GU,[0, 39],,,,
10L01FB4GU,[0,15, 16],,,
10S41FB4GU,[0],,,,,
1102BI4UFE,[0,6,35, 0],,
113I66P4GU,[8,17,8, 0],,
11474U6PSI,[0],,,,,
1156P1B4GU,[3],,,,,
119GXUB7SI,[17, 15],,,,
11FX6BP4GU,[0,18, 29],,,
11IX1SP4GU,[0],,,,,
11SX4BP4GU,[0, 6],,,,
1259I2XLGU,[0,3,0,2,18, 2]
12BU32GLPI,[0,19, 0],,,
137GXUB7SI,[17,24, 8],,,
141XS1U2FE,[],,,,,
1424LXP4GU,[18,0,5,0, 5],
1425GU12LB,[1, 3],,,,
142U333LBI,[0],,,,,
144S12XLGU,[2],,,,,
147PS1B4GU,[0, 20],,,,
149XB6P4GU,[6],,,,,
14B5LSP4GU,[0],,,,,
14F151B4GU,[12, 0],,,,
14IPS1B4GU,[0],,,,,
14P21BLSUI,[0],,,,,
14PIS1B4GU,[3, 0],,,,
14PX51B4GU,[4],,,,,
14S11XUPBI,[4],,,,,
14X21BLSUI,[15, 0],,,,
14X2LSP4GU,[0,6, 21],,,
1524LXP4GU,[18],,,,,
152SFG6LPI,[0],,,,,
153GX7B7SI,[19],,,,,
158BI2XLGU,[20],,,,,
15GB4U6PSI,[0],,,,,
15I4S1B4GU,[22, 0],,,,
15LBS6P4GU,[8, 0],,,,
15PGXUB7SI,[3, 0],,,,
15SX51B4GU,[18, 23],,,,
15X8S1B4GU,[19],,,,,
1624LXP4GU,[3,17, 0],,,
163BG33PFI,[0, 9],,,,
16471SP4GU,[8,14, 0],,,
16F41SP4GU,[0],,,,,
16F74U6PSI,[0,7, 0],,,
16P41FB4GU,[0],,,,,
16S6P1B4GU,[20],,,,,
1788GBS1LI,[3, 6],,,,
178S1FB4GU,[22, 0],,,,
17F4S6P4GU,[0,14, 18],,,
17P4XUB7SI,[3, 14],,,,
181X4BP4GU,[0,2, 0],,,
1822PU12LB,[0],,,,,
184X4BP4GU,[6, 0],,,,
19694PLXSU,[17, 0],,,,
1973X16PSI,[14,13,0,24, 14],
19FSLXP4GU,[8, 3],,,,
19G6SPULXI,[0],,,,,
1B2S4IXLGU,[3],,,,,
1B3P3UX13I,[0, 25],,,,
1B49I2XLGU,[0,14, 0],,,
1B64FSP4GU,[0, 5],,,,
1BF64U6PSI,[0,2, 0],,,
1BFUX16PSI,[0,27,5, 26],,
1BI71SP4GU,[0],,,,,
1BSU32GLPI,[0],,,,,
1F1SLXP4GU,[8,7, 0],,,
1F414PLXSU,[17, 0],,,,
1F4G4PLXSU,[17, 0],,,,
1F7LX7B7SI,[0,27, 2],,,
1F8LX7B7SI,[18],,,,,
1FI4LXP4GU,[20],,,,,
1FS5X6P4GU,[3, 0],,,,
1G41PU12LB,[],,,,,
1G4UX16PSI,[0,14, 8],,,
1I45S1B4GU,[0, 3],,,,
1I516BP4GU,[0],,,,,
1I5PS1B4GU,[9,17, 1],,,
1I5X6BP4GU,[0, 18],,,,
1IF551B4GU,[0, 6],,,,
1IFL1SP4GU,[17, 0],,,,
1ISX51B4GU,[20],,,,,
1L461XU6PB,[0, 5],,,,
1L6X6BP4GU,[0, 14],,,,
1LU7X16PSG,[1,0,24, 8],,
1P0I2X11FE,[0, 6],,,,
1P47B7FSUI,[0,25, 36],,,
1P5F42XLGU,[2, 3],,,,
1P5GX7B7SI,[15,28, 9],,,
1PL84X1BSU,[0],,,,,
1PX51FB4GU,[0, 18],,,,
1S199IXLGU,[0,2,17, 0],,
1SB33UX13I,[0, 3],,,,
1SFI66P4GU,[8, 0],,,,
1SLF51B4GU,[0,20,29, 9],,
1SX51FB4GU,[0],,,,,
1UBGX16PSI,[10],,,,,
1UG2F33LBI,[0, 3],,,,
1X1G4U6PSI,[0, 26],,,,
1X717USPFE,[2],,,,,
1X7LFSP4GU,[0],,,,,
1XG64UP2FE,[2,17,0, 2],,
1XP51FB4GU,[8, 0],,,,
1XP8GBS1LI,[14,31,0, 14],,
2002BI4UFE,[10,0, 2],,,
206SG2P1FE,[2],,,,,
2102BI4UFE,[2],,,,,
21IL5BP4GU,[17, 0],,,,
22593IXLGU,[14,0,17,14, 0],
23PXGFL8BI,[0],,,,,
24341BLSUI,[17],,,,,
2437FPLSUI,[2, 1],,,,
24599IXLGU,[0],,,,,
24B6LXP4GU,[18,8, 1],,,
24F437LSUI,[1, 0],,,,
24PG7US3LI,[0,30,0,18, 0],
24X2LSP4GU,[0],,,,,
24XBS1U2FE,[19],,,,,
24XL66P4GU,[0],,,,,
252SGU12LB,[0],,,,,
25LPS1B4GU,[28,2, 3],,,
25LX4BP4GU,[0],,,,,
278BS1ULXI,[2, 3],,,,
296P5IXLGU,[0,19, 0],,,
29L7X16PSI,[0],,,,,
2F15GU12LB,[],,,,,
2F8P81BLSI,[3],,,,,
