Truck ID,Cluster Number,Count Occurence
 1I5X6BP4GU,0,3
 1I5X6BP4GU,18,1
 1IF551B4GU,0,7
 1IF551B4GU,6,9
 1IFL1SP4GU,0,2
 1IFL1SP4GU,17,1
 1ISX51B4GU,20,1
 1L461XU6PB,0,1
 1L461XU6PB,5,1
 1L6X6BP4GU,0,1
 1L6X6BP4GU,14,1
 1LU7X16PSG,0,2
 1LU7X16PSG,1,1
 1LU7X16PSG,24,1
 1LU7X16PSG,8,4
 1P0I2X11FE,0,2
 1P0I2X11FE,6,1
 1P47B7FSUI,0,2
 1P47B7FSUI,25,1
 1P47B7FSUI,36,1
 1P5F42XLGU,2,3
 1P5F42XLGU,3,4
 1P5GX7B7SI,15,3
 1P5GX7B7SI,28,1
 1P5GX7B7SI,9,6
 1PL84X1BSU,0,7
 1PX51FB4GU,0,6
 1PX51FB4GU,18,1
 1S199IXLGU,0,6
 1S199IXLGU,17,1
 1S199IXLGU,2,1
 1SB33UX13I,0,3
 1SB33UX13I,3,1
 1SFI66P4GU,0,1
 1SFI66P4GU,8,1
 1SLF51B4GU,0,4
 1SLF51B4GU,20,1
 1SLF51B4GU,29,4
 1SLF51B4GU,9,1
 1SX51FB4GU,0,5
 1UBGX16PSI,10,8
 1UG2F33LBI,0,1
 1UG2F33LBI,3,1
 1X1G4U6PSI,0,4
 1X1G4U6PSI,26,3
 1X717USPFE,2,3
 1X7LFSP4GU,0,5
 1XG64UP2FE,0,1
 1XG64UP2FE,17,1
 1XG64UP2FE,2,9
 1XP51FB4GU,0,2
 1XP51FB4GU,8,1
 1XP8GBS1LI,0,1
 1XP8GBS1LI,14,2
 1XP8GBS1LI,31,1
 2002BI4UFE,0,1
 2002BI4UFE,10,1
 2002BI4UFE,2,3
 206SG2P1FE,2,1
 2102BI4UFE,2,4
 21IL5BP4GU,0,3
 21IL5BP4GU,17,2
 22593IXLGU,0,12
 22593IXLGU,14,2
 22593IXLGU,17,1
 23PXGFL8BI,0,7
 24341BLSUI,17,2
 2437FPLSUI,1,1
 2437FPLSUI,2,4
 24599IXLGU,0,4
 24B6LXP4GU,1,3
 24B6LXP4GU,18,1
 24B6LXP4GU,8,2
 24F437LSUI,0,3
 24F437LSUI,1,4
 24PG7US3LI,0,6
 24PG7US3LI,18,1
 24PG7US3LI,30,5
 24X2LSP4GU,0,2
 24XBS1U2FE,19,1
 24XL66P4GU,0,9
 252SGU12LB,0,5
 25LPS1B4GU,2,5
 25LPS1B4GU,28,1
 25LPS1B4GU,3,7
 25LX4BP4GU,0,1
 278BS1ULXI,2,5
 278BS1ULXI,3,2
 296P5IXLGU,0,21
 296P5IXLGU,19,1
 29L7X16PSI,0,6
 2F8P81BLSI,3,6
 2FISLXP4GU,2,3
 2FISLXP4GU,8,7
 2FSP2IXLGU,11,1
 2FSP2IXLGU,25,5
 2FSP2IXLGU,3,3
 2G06BUSPFE,2,1
 2G06BUSPFE,31,1
 2G331BLSUI,0,1
 2GB011U2FE,0,1
 2I27P7LXSU,0,3
 2I27P7LXSU,26,2
 2I27P7LXSU,5,1
 2L3F1UX1BI,0,4
 2L6X4BP4GU,0,1
 2L6X4BP4GU,10,7
 2L7GXUB7SI,0,5
 2L7GXUB7SI,3,1
 2L7SX8P1BI,0,9
 2LB64U6PSI,0,6
 2LB6X16PSI,0,2
 2LB6X16PSI,2,2
 2LBGX16PSI,0,4
 2LI16BP4GU,0,1
 2LPUX7B7SI,12,1
 2LPUX7B7SI,18,4
 2LPUX7B7SI,19,1
 2LPUX7B7SI,21,6
 2LU3X7B7SI,2,1
 2LU7X16PSG,0,3
 2LU7X16PSG,1,2
 2LU7X16PSG,14,1
 2P491GLXSU,0,7
 2P491GLXSU,14,1
 2P491GLXSU,17,2
 2P81LUX1BI,0,4
 2SF2I2XLGU,0,4
 2SF2I2XLGU,18,1
 2SLX4BP4GU,0,3
 3002BI4UFE,0,1
 314SBULFXI,2,1
 314SBULFXI,8,1
 31I16BP4GU,0,2
 31I16BP4GU,17,1
 31I16BP4GU,18,2
 31U31S13PI,0,4
 31U31S13PI,17,6
 31U31S13PI,9,2
 31U6X16PSI,0,1
 31U6X16PSI,2,2
 31U6X16PSI,9,2
 31X11PSFBI,0,5
 3291LUX13I,0,3
 3291LUX13I,2,2
 3291LUX13I,24,1
 3291LUX13I,9,3
 32I5GBU1FE,0,1
 32I5GBU1FE,2,2
 32L64U6PSI,0,5
 32U8FBGLXI,2,3
 340UX6LFPI,0,7
 341IS1B4GU,0,9
 34F4XUB7SI,0,2
 34FUSP81BI,0,5
 34FUX7B7SI,0,1
 34FUX7B7SI,10,1
 34FUX7B7SI,3,2
 34P343ULXI,2,1
 35B6FG6LPI,0,4
 35GB4U6PSI,0,5
 373IS1B4GU,2,3
 373IS1B4GU,3,1
 37SI66P4GU,0,4
 37SI66P4GU,14,2
 37SI66P4GU,19,1
 37SI66P4GU,2,4
 37SX233LBI,0,5
 38894XBLUI,3,13
 389SX8P1BI,0,3
 389SX8P1BI,14,1
 389SX8P1BI,31,1
 38FUSP81BI,0,13
